City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Kapaa,US,22.0752,-159.319,80.58,83,75,10.36,broken clouds
1,Bowen,AU,-20.0167,148.2333,58.73,81,32,10.04,scattered clouds
2,Paamiut,GL,61.994,-49.6678,38.25,88,1,25.86,clear sky
3,Bayanday,RU,53.0661,105.5139,47.44,87,0,1.05,clear sky
4,Punta Arenas,CL,-53.15,-70.9167,39.31,75,40,14.97,scattered clouds
5,Hermanus,ZA,-34.4187,19.2345,55.8,82,97,6.98,overcast clouds
6,Ancud,CL,-41.8697,-73.8203,40.35,70,83,7.4,broken clouds
7,Jamestown,US,42.097,-79.2353,87.44,67,40,16.11,scattered clouds
8,Hualmay,PE,-11.0964,-77.6139,65.97,70,7,11.32,clear sky
9,Castro,BR,-24.7911,-50.0119,62.51,83,1,6.85,clear sky
10,Amalapuram,IN,16.5833,82.0167,82.58,76,100,5.08,overcast clouds
11,Georgetown,MY,5.4112,100.3354,79.9,93,40,5.01,thunderstorm with light rain
12,Awbari,LY,26.5921,12.7805,90.34,13,0,8.37,clear sky
13,Kodiak,US,57.79,-152.4072,62.11,59,0,6.91,clear sky
14,Brigantine,US,39.4101,-74.3646,68.04,88,100,13.8,overcast clouds
15,Vadso,NO,70.0744,29.7487,45.48,87,75,18.41,broken clouds
16,Cortez,US,37.3489,-108.5859,77.76,41,40,16.11,scattered clouds
17,Obo,CF,5.3998,26.4869,70.3,82,49,3.06,scattered clouds
18,Port Elizabeth,ZA,-33.918,25.5701,60.1,93,97,0.0,overcast clouds
19,Mataura,NZ,-46.1927,168.8643,28.47,73,100,2.8,overcast clouds
20,Hobart,AU,-42.8794,147.3294,52.27,86,75,6.91,broken clouds
21,New Norfolk,AU,-42.7826,147.0587,52.92,82,100,2.86,overcast clouds
22,Touros,BR,-5.1989,-35.4608,75.83,88,100,8.37,light rain
23,Bocana De Paiwas,NI,12.7857,-85.1227,80.33,81,29,11.59,light rain
24,Provideniya,RU,64.3833,-173.3,41.36,100,100,13.42,fog
25,Necochea,AR,-38.5473,-58.7368,41.41,59,77,5.03,broken clouds
26,Longyearbyen,SJ,78.2186,15.6401,44.44,65,75,17.27,broken clouds
27,Vestmannaeyjar,IS,63.4427,-20.2734,47.61,72,100,10.58,overcast clouds
28,Masuguru,TZ,-11.3667,38.4167,65.88,54,0,3.4,clear sky
29,Avarua,CK,-21.2078,-159.775,82.45,78,40,16.11,scattered clouds
30,Barrow,US,71.2906,-156.7887,48.22,81,100,13.8,overcast clouds
31,Cape Town,ZA,-33.9258,18.4232,60.12,92,88,3.44,mist
32,Kavieng,PG,-2.5744,150.7967,81.37,75,100,3.96,overcast clouds
33,Ushuaia,AR,-54.8,-68.3,40.62,81,40,32.21,scattered clouds
34,Ekibastuz,KZ,51.6667,75.3667,68.02,53,13,9.44,few clouds
35,Aklavik,CA,68.2191,-135.0107,64.4,52,40,4.61,scattered clouds
36,Zyryanka,RU,65.75,150.85,60.82,59,100,19.35,overcast clouds
37,San Cristobal,VE,7.7669,-72.225,82.58,50,13,7.74,few clouds
38,Narsaq,GL,60.9167,-46.05,57.42,48,0,1.77,clear sky
39,Hilo,US,19.7297,-155.09,81.25,73,100,3.44,overcast clouds
40,Falam,MM,22.9167,93.6833,63.68,98,100,3.13,overcast clouds
41,Tyshkivka,UA,48.4967,30.9423,52.95,90,52,13.56,broken clouds
42,Albany,US,42.6001,-73.9662,65.88,80,95,12.5,overcast clouds
43,Makakilo City,US,21.3469,-158.0858,80.92,57,40,12.66,scattered clouds
44,Saint-Philippe,RE,-21.3585,55.7679,65.79,69,1,5.55,clear sky
45,Penarroya-Pueblonuevo,ES,38.3,-5.2667,67.44,52,100,4.43,overcast clouds
46,Dikson,RU,73.5069,80.5464,38.79,86,100,14.36,overcast clouds
47,Pevek,RU,69.7008,170.3133,44.24,57,100,18.1,overcast clouds
48,Hervey Bay,AU,-25.2986,152.8535,53.02,87,0,3.0,clear sky
49,Rikitea,PF,-23.1203,-134.9692,74.95,77,39,12.1,scattered clouds
50,Pampas,PE,-12.4,-74.9,56.34,57,78,7.23,broken clouds
51,Souillac,MU,-20.5167,57.5167,66.58,82,75,10.36,light rain
52,Mahdasht,IR,35.7299,50.8111,88.02,8,0,6.91,clear sky
53,Marystown,CA,47.1666,-55.1483,58.75,74,44,9.73,scattered clouds
54,Qaanaaq,GL,77.484,-69.3632,39.67,61,10,1.3,clear sky
55,Lazaro Cardenas,MX,17.9583,-102.2,83.03,70,100,8.7,overcast clouds
56,Kargasok,RU,59.0556,80.8572,54.88,96,96,6.91,overcast clouds
57,Upernavik,GL,72.7868,-56.1549,33.82,89,100,9.84,overcast clouds
58,Trincomalee,LK,8.5711,81.2335,81.66,71,100,19.95,overcast clouds
59,Amapa,BR,1.0,-52.0,76.14,93,13,0.87,few clouds
60,Bengkulu,ID,-3.8004,102.2655,74.39,93,100,5.75,overcast clouds
61,Zapolyarnyy,RU,69.4154,30.8136,43.88,84,30,15.17,scattered clouds
62,Dauphin,CA,51.1494,-100.0502,78.94,44,0,9.22,clear sky
63,Fairbanks,US,64.8378,-147.7164,72.61,54,40,9.22,smoke
64,Tasiilaq,GL,65.6145,-37.6368,41.16,76,5,5.1,clear sky
65,Conceicao Do Araguaia,BR,-8.2578,-49.2647,84.22,43,83,5.01,broken clouds
66,Saint Anthony,US,45.0205,-93.218,85.01,46,20,14.97,few clouds
67,Puerto Ayora,EC,-0.7393,-90.3518,78.76,89,59,11.01,broken clouds
68,Axim,GH,4.8699,-2.2405,74.8,93,100,6.08,overcast clouds
69,Aranos,NA,-24.1333,19.1167,47.1,40,0,8.68,clear sky
70,Ribeira Grande,PT,38.5167,-28.7,68.4,73,40,11.5,scattered clouds
71,Mumford,GH,5.2618,-0.759,74.66,91,100,9.89,overcast clouds
72,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,12.66,scattered clouds
73,Labuhan,ID,-6.8844,112.2051,76.8,82,98,7.11,overcast clouds
74,Kloulklubed,PW,7.0419,134.2556,75.7,71,97,7.16,overcast clouds
75,Chuy,UY,-33.6971,-53.4616,49.82,64,90,13.13,light rain
76,Develi,TR,38.3906,35.4922,65.55,68,20,5.91,few clouds
77,Hithadhoo,MV,-0.6,73.0833,83.64,70,71,8.97,broken clouds
78,Sitka,US,57.0531,-135.33,51.69,87,100,0.0,light rain
79,Voh,NC,-20.9667,164.7,66.7,74,99,3.31,overcast clouds
80,Port Alfred,ZA,-33.5906,26.891,63.99,86,94,15.95,overcast clouds
81,Severo-Kurilsk,RU,50.6789,156.125,46.0,92,82,15.99,broken clouds
82,Nador,MA,35.174,-2.9287,71.85,53,0,5.75,clear sky
83,Sicamous,CA,50.8331,-118.9856,75.18,41,18,4.27,few clouds
84,Adra,ES,36.7496,-3.0206,73.38,74,2,11.99,clear sky
85,Yellowknife,CA,62.456,-114.3525,66.72,32,20,14.97,few clouds
86,Butaritari,KI,3.0707,172.7902,81.19,77,98,10.65,light rain
87,Bluff,NZ,-46.6,168.3333,28.8,71,100,8.28,overcast clouds
88,Busselton,AU,-33.65,115.3333,61.2,86,100,7.54,overcast clouds
89,Hasaki,JP,35.7333,140.8333,70.29,95,100,8.19,overcast clouds
90,Salym,RU,60.0625,71.4789,52.9,97,16,4.25,few clouds
91,Buin,CL,-33.7333,-70.75,58.05,63,100,0.45,overcast clouds
92,Ayagoz,KZ,47.9714,80.4392,71.85,38,87,5.26,overcast clouds
93,Angoche,MZ,-16.2325,39.9086,70.97,79,15,7.87,few clouds
94,Zhaotong,CN,27.3167,103.7167,63.63,97,100,2.66,moderate rain
95,Lata,PT,40.1629,-8.3327,61.92,94,26,1.9,scattered clouds
96,Sur,OM,22.5667,59.5289,85.78,71,3,20.2,clear sky
97,Bredasdorp,ZA,-34.5322,20.0403,60.58,69,99,6.06,overcast clouds
98,Codrington,AU,-38.2667,141.9667,51.76,93,100,16.13,overcast clouds
99,Cayenne,GF,4.9333,-52.3333,84.09,32,0,2.3,clear sky
100,Xuddur,SO,4.1213,43.8894,73.0,75,99,16.26,overcast clouds
101,Olinda,BR,-8.0089,-34.8553,69.53,100,100,6.91,moderate rain
102,Beisfjord,NO,68.3751,17.5988,48.25,75,93,6.89,light rain
103,Chokurdakh,RU,70.6333,147.9167,40.06,62,84,14.54,broken clouds
104,Mahebourg,MU,-20.4081,57.7,66.49,82,75,10.36,broken clouds
105,Saint George,US,37.1041,-113.5841,93.63,12,0,6.91,clear sky
106,Nikolskoye,RU,59.7035,30.7861,55.29,65,56,0.49,broken clouds
107,Khatanga,RU,71.9667,102.5,50.14,57,100,11.56,overcast clouds
108,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,66,75,5.75,broken clouds
109,Erenhot,CN,43.6475,111.9767,68.47,47,61,11.16,broken clouds
110,Bonavista,CA,48.6499,-53.1147,54.61,80,44,5.32,scattered clouds
111,Colon,PA,9.3592,-79.9014,82.15,76,100,5.55,overcast clouds
112,Naze,JP,28.3667,129.4833,76.12,91,8,8.63,clear sky
113,Poum,NC,-20.2333,164.0167,72.32,62,100,6.31,overcast clouds
114,San Quintin,MX,30.4833,-115.95,75.43,62,1,14.63,clear sky
115,Sinnamary,GF,5.3833,-52.95,79.18,83,30,7.65,scattered clouds
116,Talnakh,RU,69.4865,88.3972,67.21,43,99,4.76,overcast clouds
117,Itaqui,BR,-29.1253,-56.5531,56.21,97,100,8.77,overcast clouds
118,Aguada De Pasajeros,CU,22.385,-80.8508,87.91,50,100,8.43,overcast clouds
119,Palenque,MX,17.5167,-91.9667,86.16,74,75,5.75,broken clouds
120,Nuevo Progreso,MX,23.1667,-97.95,83.53,68,100,9.1,light rain
121,Port Hedland,AU,-20.3167,118.5667,64.45,48,0,11.5,clear sky
122,Ossora,RU,59.2353,163.0719,49.05,88,98,6.38,overcast clouds
123,Mogadishu,SO,2.0371,45.3438,77.67,78,55,19.37,light rain
124,Tura,IN,25.5198,90.2201,73.36,98,71,4.76,broken clouds
125,Zhigansk,RU,66.7697,123.3711,51.64,75,4,10.89,clear sky
126,Ilhabela,BR,-23.7781,-45.3581,72.28,71,1,4.47,clear sky
127,Kruisfontein,ZA,-34.0033,24.7314,57.88,61,98,6.2,overcast clouds
128,Atuona,PF,-9.8,-139.0333,77.41,67,53,19.57,broken clouds
129,Carnarvon,AU,-24.8667,113.6333,67.57,79,5,13.11,clear sky
130,Kalianget,ID,-7.05,113.9333,79.21,82,100,10.56,overcast clouds
131,Bergerac,FR,44.8333,0.5,73.62,64,24,9.22,few clouds
132,Ilulissat,GL,69.2167,-51.1,37.42,81,75,4.61,broken clouds
133,Ixtapa,MX,20.7,-105.2,88.23,62,75,4.0,broken clouds
134,Lebu,CL,-37.6167,-73.65,47.97,91,100,7.78,overcast clouds
135,Sirohi,IN,24.8833,72.8667,87.06,43,58,2.59,broken clouds
136,Marathon,US,44.9,-89.7668,79.84,38,0,17.27,clear sky
137,Point Pleasant,US,40.0832,-74.0682,66.25,86,100,6.91,overcast clouds
138,Bonthe,SL,7.5264,-12.505,78.64,83,100,8.99,overcast clouds
139,Nanortalik,GL,60.1432,-45.2371,41.92,74,2,17.2,clear sky
140,Cairns,AU,-16.9167,145.7667,67.95,87,51,16.11,broken clouds
141,Hofn,IS,64.2539,-15.2082,49.46,58,33,15.77,scattered clouds
142,Mudkhed,IN,19.1667,77.5167,78.17,79,100,2.37,overcast clouds
143,Karwar,IN,14.8,74.1333,75.97,93,100,7.23,overcast clouds
144,Ahome,MX,25.9167,-109.1833,94.95,39,4,15.57,clear sky
145,Mar Del Plata,AR,-38.0023,-57.5575,47.08,57,75,8.05,broken clouds
146,Hirara,JP,24.8,125.2833,83.75,79,0,15.26,clear sky
147,Namatanai,PG,-3.6667,152.4333,79.99,80,85,4.47,overcast clouds
148,Coihaique,CL,-45.5752,-72.0662,38.01,64,0,4.61,clear sky
149,Colac,AU,-38.3333,143.5833,51.17,91,100,10.67,overcast clouds
150,Bani,DO,18.2833,-70.3333,89.04,66,99,10.71,overcast clouds
151,Bayir,TR,37.2687,28.2167,73.92,49,0,3.22,clear sky
152,Horasan,TR,40.0458,42.1728,50.22,89,28,2.46,scattered clouds
153,Nueve De Julio,AR,-35.4444,-60.8831,44.31,41,100,8.12,overcast clouds
154,Luderitz,NA,-26.6481,15.1594,56.19,73,0,5.32,clear sky
155,Iqaluit,CA,63.7506,-68.5145,44.33,70,40,8.05,scattered clouds
156,Igrim,RU,63.1906,64.4162,61.34,94,100,3.47,overcast clouds
157,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,82,75,14.97,broken clouds
158,Rawson,AR,-43.3002,-65.1023,39.49,45,2,5.64,clear sky
159,Ilovlya,RU,49.3033,43.9796,64.98,88,100,6.15,overcast clouds
160,Omsukchan,RU,62.5333,155.8,45.68,90,85,10.54,overcast clouds
161,Tiksi,RU,71.6872,128.8694,41.86,56,11,17.11,few clouds
162,East London,ZA,-33.0153,27.9116,65.07,80,89,17.09,overcast clouds
163,Alta Floresta,BR,-9.8756,-56.0861,91.22,35,0,5.75,clear sky
164,Jalu,LY,29.0331,21.5482,85.6,23,0,9.31,clear sky
165,Hearst,CA,49.6835,-83.6665,68.25,31,28,9.73,scattered clouds
166,Ilanskiy,RU,56.2358,96.065,54.68,62,73,4.74,broken clouds
167,Maridi,SS,4.9158,29.4742,71.31,71,90,2.53,overcast clouds
168,Catamarca,AR,-28.4696,-65.7852,48.58,62,68,3.0,broken clouds
169,Thompson,CA,55.7435,-97.8558,78.96,27,40,17.27,scattered clouds
170,Lompoc,US,34.6391,-120.4579,74.84,70,0,17.27,clear sky
171,Olafsvik,IS,64.8945,-23.7142,45.46,63,52,20.29,broken clouds
172,Charlestown,AU,-32.95,151.6667,47.68,85,13,3.0,few clouds
173,Morros,BR,-9.4467,-46.3003,82.15,36,25,5.53,scattered clouds
174,Inhambane,MZ,-23.865,35.3833,68.88,69,93,10.74,overcast clouds
175,Madaba,JO,31.5833,35.6667,68.16,67,0,2.66,clear sky
176,Sosnovo-Ozerskoye,RU,52.5249,111.5418,46.65,70,8,3.89,clear sky
177,Tapejara,BR,-28.0681,-52.0139,70.18,93,21,7.23,few clouds
178,Srednekolymsk,RU,67.45,153.6833,52.79,91,100,8.23,light rain
179,Tulagi,SB,-9.0996,160.1476,82.04,72,38,4.21,scattered clouds
180,Vaini,TO,-21.2,-175.2,71.76,73,20,10.36,few clouds
181,Vicuna,CL,-30.0319,-70.7081,56.93,58,67,4.29,broken clouds
182,Kieta,PG,-6.2167,155.6333,79.16,83,100,2.35,light rain
183,Hamilton,US,39.1834,-84.5333,95.65,56,40,10.36,scattered clouds
184,Nordstemmen,DE,52.162,9.7835,69.55,78,68,4.0,broken clouds
185,Izhma,RU,65.0083,53.9113,50.81,71,100,9.24,overcast clouds
186,Norman Wells,CA,65.282,-126.8329,71.64,40,20,10.36,few clouds
187,Vila Do Maio,CV,15.1333,-23.2167,77.79,92,67,8.93,broken clouds
188,Bereda,ES,43.2686,-7.5406,59.58,100,100,1.57,overcast clouds
189,Buala,SB,-8.145,159.5921,81.27,80,18,5.23,few clouds
190,Camacha,PT,33.0833,-16.3333,65.62,68,75,12.66,broken clouds
191,Chapais,CA,49.7834,-74.8492,74.98,34,9,14.05,clear sky
192,Veraval,IN,20.9,70.3667,86.14,72,76,12.59,broken clouds
193,Soavinandriana,MG,-19.1667,46.7333,43.88,85,0,6.06,clear sky
194,Klaksvik,FO,62.2266,-6.589,50.92,84,89,25.12,overcast clouds
195,Isiro,CD,2.7739,27.616,66.15,93,70,1.01,broken clouds
196,Rongcheng,CN,30.634,117.8517,73.69,94,71,4.16,broken clouds
197,Deniliquin,AU,-35.5333,144.9667,50.14,95,100,5.61,overcast clouds
198,Kizhinga,RU,51.8462,109.9097,47.84,80,1,3.76,clear sky
199,Ola,RU,59.5833,151.2833,44.15,97,100,5.55,overcast clouds
200,Santa Maria,BR,-29.6842,-53.8069,58.3,100,100,9.22,mist
201,Bambous Virieux,MU,-20.3428,57.7575,66.45,82,75,10.36,light rain
202,Ponta Do Sol,PT,32.6667,-17.1,70.0,70,54,8.12,broken clouds
203,Kuala Terengganu,MY,5.3302,103.1408,76.95,94,20,3.44,few clouds
204,Takoradi,GH,4.8845,-1.7554,74.34,93,100,7.05,overcast clouds
205,Cartagena,CO,10.3997,-75.5144,85.62,74,75,8.05,broken clouds
206,Ko Samui,TH,9.5357,99.9357,82.81,74,97,10.96,overcast clouds
207,Turukhansk,RU,65.8167,87.9833,65.44,53,7,9.62,clear sky
208,Otane,NZ,-39.8833,176.6333,47.01,82,70,1.66,broken clouds
209,Geraldton,AU,-28.7667,114.6,52.21,100,40,9.22,scattered clouds
210,Saint-Joseph,RE,-21.3667,55.6167,64.78,67,7,2.73,clear sky
211,College,US,64.8569,-147.8028,72.59,54,75,9.22,smoke
212,Katherine,AU,-14.4667,132.2667,61.12,77,33,8.05,scattered clouds
213,Samarai,PG,-10.6167,150.6667,79.59,82,98,14.5,overcast clouds
214,Parichhatgarh,IN,28.9833,77.9333,86.72,41,29,6.08,scattered clouds
215,Kovdor,RU,67.5662,30.4758,44.47,81,86,2.73,overcast clouds
216,Mitzic,GA,0.7821,11.549,68.27,95,97,2.73,overcast clouds
217,Ahipara,NZ,-35.1667,173.1667,50.5,69,5,4.97,clear sky
218,Galesong,ID,-5.3166,119.3661,75.22,79,99,4.63,overcast clouds
219,La Ronge,CA,55.1001,-105.2842,66.45,63,75,9.22,broken clouds
220,Flinders,AU,-34.5833,150.8552,52.38,77,37,1.99,scattered clouds
221,Lavrentiya,RU,65.5833,-171.0,41.59,95,100,8.34,light rain
222,Gambela,ET,8.25,34.5833,71.71,91,100,3.76,moderate rain
223,Henties Bay,NA,-22.116,14.2845,55.71,85,0,9.78,clear sky
224,Opuwo,NA,-18.0607,13.84,51.31,13,0,3.44,clear sky
225,Mul,IN,20.0667,79.6667,78.73,88,65,3.29,broken clouds
226,Alice Springs,AU,-23.7,133.8833,38.75,87,0,5.75,clear sky
227,Alofi,NU,-19.0595,-169.9187,76.89,83,75,9.22,light intensity shower rain
228,Esna,EG,25.2934,32.554,84.22,27,0,12.91,clear sky
229,Etchoropo,MX,26.7667,-109.6667,104.41,44,2,15.35,clear sky
230,Praya,CV,14.9215,-23.5087,77.54,88,40,14.97,scattered clouds
